"Retail trade sales by province and territory (x 1,000) c 1 2 3 4 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 20-10-0008-01 (formerly CANSIM 080-0020),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Beer, wine and liquor stores  [4453]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unadjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,01-Jan,01-Feb,01-Mar,01-Apr,01-May,01-Jun,01-Jul,01-Aug,01-Sep,01-Oct,01-Nov,01-Dec,02-Jan,02-Feb,02-Mar,02-Apr,02-May,02-Jun,02-Jul,02-Aug,02-Sep,02-Oct,02-Nov,02-Dec,03-Jan,03-Feb,03-Mar,03-Apr,03-May,03-Jun,03-Jul,03-Aug,03-Sep,03-Oct,03-Nov,03-Dec,04-Jan,04-Feb,04-Mar,04-Apr,04-May,04-Jun,04-Jul,04-Aug,04-Sep,04-Oct,04-Nov,04-Dec,05-Jan,05-Feb,05-Mar,05-Apr,05-May,05-Jun,05-Jul,05-Aug,05-Sep,05-Oct,05-Nov,05-Dec,06-Jan,06-Feb,06-Mar,06-Apr,06-May,06-Jun,06-Jul,06-Aug,06-Sep,06-Oct,06-Nov,06-Dec,07-Jan,07-Feb,07-Mar,07-Apr,07-May,07-Jun,07-Jul,07-Aug,07-Sep,07-Oct,07-Nov,07-Dec,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"640,505","676,644","784,825","825,994","860,298","970,522","1,054,997","1,011,993","957,542","844,802","889,285","1,589,726","678,540","711,968","861,201","837,431","961,605","1,065,334","1,101,483","1,172,448","979,219","909,109","1,013,917","1,600,273","770,512","780,971","948,078","851,734","1,045,982","1,108,275","1,198,991","1,284,169","1,004,013","989,730","1,092,942","1,621,256","843,020","817,286","904,422","941,787","1,120,298","1,103,545","1,262,517","1,328,136","1,039,964","1,078,337","1,115,904","1,738,529","899,753","867,151","975,563","1,036,310","1,163,263","1,162,259","1,430,899","1,222,332","1,154,784","1,182,120","1,082,357","1,619,010","831,055","880,916","1,047,212","1,074,036","1,154,329","1,258,070","1,477,366","1,292,614","1,201,151","1,157,967","1,140,953","1,849,857","858,726","927,760","1,116,182","1,136,847","1,223,823","1,351,703","1,462,983","1,392,196","1,310,733","1,179,425","1,246,716","1,935,654","936,080","989,373","1,224,026","1,189,503","1,350,780","1,524,274","1,490,885","1,568,307","1,371,479","1,267,750","1,388,024","1,936,693","1,039,460","1,120,481","1,238,143","1,224,213","1,531,245","1,487,157","1,638,997","1,673,550","1,343,485","1,429,173","1,434,841","1,903,994","1,159,457","1,110,341","1,234,606","1,314,536","1,583,740","1,558,368","1,770,634","1,629,990","1,432,064","1,489,209","1,364,672","1,972,088","1,182,091","1,178,434","1,288,298","1,408,994","1,526,343","1,564,005","1,900,637","1,591,760","1,496,588","1,540,845","1,451,674","2,125,430","1,147,526","1,187,548","1,319,910","1,477,450","1,492,309","1,643,254","1,885,300","1,630,728","1,607,117","1,514,213","1,482,773","2,311,852","1,106,116","1,239,021","1,478,627","1,407,519","1,633,772","1,817,373","1,770,311","1,813,779","1,597,239","1,501,847","1,637,386","2,172,812","1,221,383","1,252,626","1,528,694","1,380,141","1,783,793","1,737,008","1,796,789","1,956,928","1,585,427","1,596,557","1,690,799","2,100,878","1,291,046","1,283,400","1,437,534","1,550,368","1,801,758","1,804,366","1,950,994","1,921,169","1,635,315","1,690,158","1,687,035","2,277,624","1,340,847","1,331,137","1,512,743","1,587,892","1,860,015","1,860,777","2,138,494","2,047,894","1,781,464","1,801,540","1,704,921","2,402,108","1,379,885","1,452,444","1,666,184","1,687,200","1,895,025","2,011,993","2,177,616","2,005,938","1,844,261","1,794,353","1,815,184","2,604,902","1,326,493","1,447,389","1,669,542","1,683,501","1,949,176","2,139,493","2,229,883","2,129,973","1,936,343","1,805,296","1,862,535","2,657,107","1,419,582","1,470,347","1,832,808","1,650,879","2,079,141","2,239,279","2,208,467","2,383,370","1,904,117","1,912,616","1,991,186","2,600,921","1,493,717","1,512,503","1,791,095","1,820,047","2,174,573","2,212,675","2,305,863","2,407,024","1,928,228","1,968,146","2,048,391","2,611,568","1,604,299","1,638,465","1,956,963","1,911,359","2,237,936","2,388,082","2,640,126","2,392,769","2,169,097","2,175,842","2,136,944","2,782,322"
Newfounlan and Labraor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Prince Ewar Island,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Nova Scotia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
New Brunswick,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Quebec,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"134,967","129,425","161,094","143,113","172,567","158,168","193,519","164,395","178,470","195,462","173,002","217,122","104,951","137,796","178,699","157,339","167,755","180,726","193,680","175,321","178,919","199,608","195,695","330,854","125,968","142,861","177,060","167,886","177,127","193,182","200,400","187,471","189,905","197,189","222,505","336,283","142,603","151,719","189,953","180,571","196,748","219,404","204,961","219,910","203,466","209,591","243,060","331,640","157,232","181,149","185,068","179,857","228,342","214,332","227,122","234,484","206,047","226,034","251,152","342,166","174,575","179,989","184,413","208,065","238,645","228,448","245,733","216,260","226,058","255,731","243,954","342,988","185,058","200,030","198,511","230,663","238,133","245,308","269,690","228,475","239,538","253,919","264,464","384,290","184,316","195,256","204,240","244,193","221,303","244,290","265,923","228,282","247,202","254,916","277,054","436,961","177,228","206,258","228,136","229,524","248,391","284,774","248,205","269,086","252,402","257,103","317,755","379,878","202,844","214,740","249,658","221,108","271,824","283,210","259,676","292,070","250,483","270,932","313,916","383,896","214,207","211,917","234,638","262,196","278,454","277,491","274,178","266,402","264,459","273,120","315,683","405,123","220,830","222,758","232,353","256,900","277,398","280,230","366,611","298,265","266,605","291,225","300,502","419,163","222,072","234,245","255,057","262,931","285,782","297,821","310,100","277,949","275,865","289,562","317,746","471,672","201,141","223,862","226,188","257,548","278,034","313,396","307,603","288,771","281,649","278,851","323,835","476,214","225,982","222,147","284,356","254,235","305,738","342,666","295,551","321,618","282,029","302,621","353,283","440,903","232,077","244,712","269,450","272,137","324,348","323,315","324,234","352,711","291,817","318,551","373,806","452,524","257,283","265,094","307,155","273,430","316,028","327,380","371,343","350,900","355,511","343,082","375,961","464,565"
Ontario,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"403,940","376,812","410,011","449,952","517,521","505,388","637,308","543,666","523,739","515,195","478,584","731,365","380,640","378,652","431,138","463,780","504,234","550,619","662,637","569,080","526,070","481,175","483,086","785,376","369,743","388,774","464,486","473,900","508,395","574,445","621,508","585,093","554,102","477,533","507,240","808,751","384,322","400,306","495,050","473,231","566,828","642,853","602,823","655,564","573,412","497,552","560,823","773,805","420,423","442,959","484,613","492,287","609,974","592,612","654,321","681,272","548,810","554,036","569,960","739,316","454,979","430,258","475,487","509,697","618,809","603,169","682,453","650,597","561,173","559,092","527,472","754,694","469,171","434,103","493,150","534,624","604,910","609,338","758,767","636,827","597,028","595,177","560,241","837,270","459,646","462,684","520,432","575,625","582,610","637,145","774,217","648,244","636,727","582,079","570,811","903,878","435,926","485,703","588,125","545,700","659,613","738,220","707,636","726,280","636,520","576,981","646,379","822,163","493,725","483,912","612,538","538,716","748,652","678,799","713,032","786,716","636,230","607,898","657,455","822,726","509,670","491,809","554,148","594,373","720,177","709,642","774,336","773,990","650,870","646,729","648,211","895,935","528,155","501,439","578,639","619,799","745,585","733,178","828,674","799,885","704,360","682,385","663,184","954,925","541,137","553,244","633,214","652,672","744,985","801,251","870,815","789,725","743,336","684,572","697,909","1,041,486","522,753","555,204","654,827","678,297","754,087","831,908","897,393","820,110","786,025","685,086","713,933","1,037,943","560,991","566,626","713,981","624,736","814,301","872,667","879,327","990,018","775,117","714,091","773,326","994,164","583,129","581,894","675,973","695,925","835,496","862,586","936,995","946,683","774,112","745,363","791,146","1,010,793","619,665","623,960","728,247","717,843","844,952","923,645","1,022,121","894,531","811,412","792,771","808,359","1,045,726"
